time,node,decisions
1000,pop0,238
1000,pop1,0
1000,pop2,3440
1000,pop3,4193
1000,pop4,262
1000,pop5,848
1000,pop6,817
1000,pop7,385
1000,pop8,1408
1000,pop9,781
1000,pop10,488
1000,pop11,2103
1000,pop12,4
1000,pop13,575
1000,pop14,1225
1000,pop15,1307
1000,pop16,1326
1000,pop17,1876
1000,pop18,776
1000,pop19,741
1000,pop20,7432
1000,pop21,323
1000,pop22,319
1000,pop23,321
1000,pop24,2418
1000,pop25,1557
1000,pop26,535
1000,pop27,3111
1000,pop28,739
1000,pop29,2511
1000,pop30,607
1000,pop31,1022
1000,pop32,1023
1000,pop33,4780
1000,pop34,847
1000,pop35,721
1000,pop36,1021
1000,pop37,611
1000,pop38,9
1000,pop39,854
1000,pop40,1244
1000,pop41,7510
1000,pop42,465
1000,pop43,246
1000,pop44,3477
1000,pop45,3635
1000,pop46,263
1000,pop47,188
1000,pop48,788
1000,pop49,1208
1000,pop50,685
1000,pop51,4022
1000,pop52,649
1000,pop53,251
1000,pop54,532
1000,pop55,278
1000,pop56,469
1000,pop57,853
1000,pop58,785
1000,pop59,499
1000,pop60,589
1000,pop61,3389
1000,pop62,2967
1000,pop63,235
1000,pop64,1350
1000,pop65,338
1000,pop66,1873
1000,pop67,1076
1000,pop68,3
1000,pop69,315
1000,pop70,5520
1000,pop71,617
1000,pop72,1085
1000,pop73,803
1000,pop74,291
1000,pop75,1203
1000,pop76,5
1000,pop77,1614
1000,pop78,692
1000,pop79,3042
1000,pop80,801
1000,pop81,4251
1000,pop82,1227
1000,pop83,500
1000,pop84,935
1000,pop85,267
1000,pop86,2944
1000,pop87,1757
1000,pop88,600
1000,pop89,716
1000,pop90,1766
1000,pop91,908
1000,pop92,1977
1000,pop93,473
1000,pop94,2703
1000,pop95,1499
1000,pop96,1279
1000,pop97,19
1000,pop98,1925
1000,pop99,1609
1000,pop100,16
1000,pop101,1341
1000,pop102,2005
1000,pop103,2371
1000,pop104,230
1000,pop105,1625
1000,pop106,2577
1000,pop107,4736
1000,pop108,1630
1000,pop109,1167
1000,pop110,2880
1000,pop111,422
1000,pop112,2422
1000,pop113,502
1000,pop114,3038
1000,pop115,2780
1000,pop116,3875
1000,pop117,975
1000,pop118,1042
1000,pop119,1131
1000,pop120,5070
1000,pop121,2762
1000,pop122,4
1000,pop123,795
1000,pop124,3963
1000,pop125,7955
1000,pop126,1449
1000,pop127,2003
1000,pop128,4020
1000,pop129,4615
1000,pop130,7057
1000,pop131,6708
1000,pop132,2630
1000,pop133,2542
1000,pop134,1272
1000,pop135,1297
1000,pop136,415
1000,pop137,154
1000,pop138,149
1000,pop139,1938
1000,pop140,4452
1000,pop141,4496
1000,pop142,4125
1000,pop143,2
1000,pop144,5761
1000,pop145,288
1000,pop146,621
1000,pop147,852
1000,pop148,1367
