time,node,decisions
1000,pop0,0
1000,pop1,132
1000,pop2,1166
1000,pop3,974
1000,pop4,296
1000,pop5,181
1000,pop6,317
1000,pop7,385
1000,pop8,298
1000,pop9,1591
1000,pop10,0
1000,pop11,1762
1000,pop12,1846
1000,pop13,113
1000,pop14,669
1000,pop15,1690
1000,pop16,296
1000,pop17,1471
1000,pop18,569
1000,pop19,1257
1000,pop20,3385
1000,pop21,346
1000,pop22,124
1000,pop23,258
1000,pop24,1034
1000,pop25,108
1000,pop26,421
1000,pop27,1232
1000,pop28,4
1000,pop29,2062
1000,pop30,236
1000,pop31,762
1000,pop32,147
1000,pop33,1386
1000,pop34,236
1000,pop35,174
1000,pop36,475
1000,pop37,13
1000,pop38,419
1000,pop39,549
1000,pop40,617
1000,pop41,1012
1000,pop42,262
1000,pop43,482
1000,pop44,707
1000,pop45,656
1000,pop46,0
1000,pop47,128
1000,pop48,651
1000,pop49,563
1000,pop50,26
1000,pop51,1723
1000,pop52,331
1000,pop53,597
1000,pop54,9
1000,pop55,3
1000,pop56,158
1000,pop57,30
1000,pop58,1053
1000,pop59,1869
1000,pop60,0
1000,pop61,1702
1000,pop62,2508
1000,pop63,114
1000,pop64,419
1000,pop65,0
1000,pop66,1610
1000,pop67,140
1000,pop68,1064
1000,pop69,0
1000,pop70,1148
1000,pop71,88
1000,pop72,574
1000,pop73,166
1000,pop74,2037
1000,pop75,117
1000,pop76,421
1000,pop77,1108
1000,pop78,100
1000,pop79,2822
1000,pop80,192
1000,pop81,1965
1000,pop82,100
1000,pop83,0
1000,pop84,0
1000,pop85,100
1000,pop86,1584
1000,pop87,1865
1000,pop88,144
1000,pop89,83
1000,pop90,2112
1000,pop91,576
1000,pop92,620
1000,pop93,862
1000,pop94,2159
1000,pop95,828
1000,pop96,616
1000,pop97,245
1000,pop98,296
1000,pop99,753
1000,pop100,270
1000,pop101,485
1000,pop102,627
1000,pop103,1929
1000,pop104,0
1000,pop105,155
1000,pop106,0
1000,pop107,374
1000,pop108,155
1000,pop109,574
1000,pop110,1672
1000,pop111,808
1000,pop112,2007
1000,pop113,1
1000,pop114,1120
1000,pop115,1115
1000,pop116,2642
1000,pop117,1684
1000,pop118,0
1000,pop119,123
1000,pop120,467
1000,pop121,1113
1000,pop122,364
1000,pop123,1956
1000,pop124,3422
1000,pop125,2341
1000,pop126,452
1000,pop127,1564
1000,pop128,1285
1000,pop129,1691
1000,pop130,2994
1000,pop131,4372
1000,pop132,1068
1000,pop133,1202
1000,pop134,2844
1000,pop135,582
1000,pop136,398
1000,pop137,457
1000,pop138,2526
1000,pop139,1935
1000,pop140,1814
1000,pop141,3222
1000,pop142,1692
1000,pop143,333
1000,pop144,3514
1000,pop145,377
1000,pop146,364
1000,pop147,348
1000,pop148,761
