time,node,decisions
1000,pop0,247
1000,pop1,0
1000,pop2,843
1000,pop3,920
1000,pop4,313
1000,pop5,457
1000,pop6,510
1000,pop7,845
1000,pop8,1159
1000,pop9,1371
1000,pop10,1656
1000,pop11,1425
1000,pop12,420
1000,pop13,414
1000,pop14,2118
1000,pop15,2757
1000,pop16,782
1000,pop17,3245
1000,pop18,112
1000,pop19,1109
1000,pop20,4970
1000,pop21,427
1000,pop22,226
1000,pop23,309
1000,pop24,3503
1000,pop25,3970
1000,pop26,382
1000,pop27,2437
1000,pop28,460
1000,pop29,1663
1000,pop30,0
1000,pop31,545
1000,pop32,612
1000,pop33,2040
1000,pop34,453
1000,pop35,387
1000,pop36,984
1000,pop37,774
1000,pop38,1046
1000,pop39,976
1000,pop40,542
1000,pop41,3266
1000,pop42,250
1000,pop43,22
1000,pop44,1039
1000,pop45,568
1000,pop46,238
1000,pop47,232
1000,pop48,661
1000,pop49,392
1000,pop50,3088
1000,pop51,1255
1000,pop52,460
1000,pop53,531
1000,pop54,239
1000,pop55,409
1000,pop56,1491
1000,pop57,1383
1000,pop58,1268
1000,pop59,1285
1000,pop60,0
1000,pop61,2219
1000,pop62,1129
1000,pop63,227
1000,pop64,518
1000,pop65,300
1000,pop66,556
1000,pop67,713
1000,pop68,862
1000,pop69,0
1000,pop70,4098
1000,pop71,1460
1000,pop72,260
1000,pop73,494
1000,pop74,2721
1000,pop75,1217
1000,pop76,1239
1000,pop77,1492
1000,pop78,2309
1000,pop79,1852
1000,pop80,244
1000,pop81,2486
1000,pop82,959
1000,pop83,688
1000,pop84,592
1000,pop85,955
1000,pop86,1729
1000,pop87,2017
1000,pop88,2289
1000,pop89,456
1000,pop90,476
1000,pop91,1144
1000,pop92,1115
1000,pop93,1905
1000,pop94,5465
1000,pop95,1065
1000,pop96,226
1000,pop97,922
1000,pop98,2876
1000,pop99,1322
1000,pop100,1855
1000,pop101,1214
1000,pop102,901
1000,pop103,3889
1000,pop104,239
1000,pop105,3003
1000,pop106,1904
1000,pop107,1958
1000,pop108,1728
1000,pop109,1823
1000,pop110,2759
1000,pop111,626
1000,pop112,2018
1000,pop113,1642
1000,pop114,2237
1000,pop115,2297
1000,pop116,5186
1000,pop117,1127
1000,pop118,329
1000,pop119,330
1000,pop120,3084
1000,pop121,2182
1000,pop122,2550
1000,pop123,1218
1000,pop124,3183
1000,pop125,4499
1000,pop126,300
1000,pop127,176
1000,pop128,857
1000,pop129,3329
1000,pop130,4514
1000,pop131,5355
1000,pop132,3057
1000,pop133,903
1000,pop134,706
1000,pop135,323
1000,pop136,60
1000,pop137,18
1000,pop138,28
1000,pop139,1652
1000,pop140,633
1000,pop141,3435
1000,pop142,1872
1000,pop143,247
1000,pop144,4121
1000,pop145,592
1000,pop146,208
1000,pop147,229
1000,pop148,1622
