time,node,decisions
1000,pop0,217
1000,pop1,182
1000,pop2,3631
1000,pop3,3880
1000,pop4,1730
1000,pop5,2810
1000,pop6,1855
1000,pop7,847
1000,pop8,2947
1000,pop9,1698
1000,pop10,446
1000,pop11,2890
1000,pop12,2753
1000,pop13,618
1000,pop14,2010
1000,pop15,1236
1000,pop16,2155
1000,pop17,2163
1000,pop18,538
1000,pop19,963
1000,pop20,6321
1000,pop21,378
1000,pop22,337
1000,pop23,355
1000,pop24,2469
1000,pop25,1274
1000,pop26,548
1000,pop27,2648
1000,pop28,643
1000,pop29,2936
1000,pop30,472
1000,pop31,1958
1000,pop32,1421
1000,pop33,5061
1000,pop34,1837
1000,pop35,3346
1000,pop36,1690
1000,pop37,666
1000,pop38,292
1000,pop39,1686
1000,pop40,1497
1000,pop41,7920
1000,pop42,1128
1000,pop43,2572
1000,pop44,4042
1000,pop45,4044
1000,pop46,230
1000,pop47,225
1000,pop48,1227
1000,pop49,1211
1000,pop50,926
1000,pop51,5217
1000,pop52,432
1000,pop53,385
1000,pop54,436
1000,pop55,224
1000,pop56,732
1000,pop57,767
1000,pop58,1106
1000,pop59,742
1000,pop60,390
1000,pop61,3125
1000,pop62,3651
1000,pop63,244
1000,pop64,1254
1000,pop65,345
1000,pop66,1557
1000,pop67,1001
1000,pop68,205
1000,pop69,214
1000,pop70,6415
1000,pop71,449
1000,pop72,2104
1000,pop73,1847
1000,pop74,233
1000,pop75,2967
1000,pop76,296
1000,pop77,2447
1000,pop78,1283
1000,pop79,2888
1000,pop80,523
1000,pop81,4274
1000,pop82,2302
1000,pop83,455
1000,pop84,583
1000,pop85,2192
1000,pop86,2907
1000,pop87,2367
1000,pop88,445
1000,pop89,563
1000,pop90,3502
1000,pop91,1161
1000,pop92,2933
1000,pop93,1389
1000,pop94,3352
1000,pop95,3375
1000,pop96,3345
1000,pop97,1708
1000,pop98,2940
1000,pop99,1945
1000,pop100,468
1000,pop101,1120
1000,pop102,1493
1000,pop103,2928
1000,pop104,207
1000,pop105,1794
1000,pop106,2634
1000,pop107,5140
1000,pop108,1943
1000,pop109,1404
1000,pop110,3356
1000,pop111,1547
1000,pop112,2904
1000,pop113,689
1000,pop114,3918
1000,pop115,2820
1000,pop116,4388
1000,pop117,2506
1000,pop118,1591
1000,pop119,1870
1000,pop120,6119
1000,pop121,3192
1000,pop122,414
1000,pop123,780
1000,pop124,3385
1000,pop125,8343
1000,pop126,1877
1000,pop127,1760
1000,pop128,4311
1000,pop129,4369
1000,pop130,6968
1000,pop131,6769
1000,pop132,3050
1000,pop133,2450
1000,pop134,749
1000,pop135,1696
1000,pop136,727
1000,pop137,922
1000,pop138,1066
1000,pop139,2666
1000,pop140,6681
1000,pop141,3498
1000,pop142,3895
1000,pop143,3
1000,pop144,6645
1000,pop145,278
1000,pop146,766
1000,pop147,1058
1000,pop148,1724
