time,node,decisions
1000,pop0,215
1000,pop1,0
1000,pop2,3616
1000,pop3,3295
1000,pop4,462
1000,pop5,599
1000,pop6,955
1000,pop7,1533
1000,pop8,1503
1000,pop9,1921
1000,pop10,1800
1000,pop11,1682
1000,pop12,242
1000,pop13,315
1000,pop14,1896
1000,pop15,2776
1000,pop16,1064
1000,pop17,1992
1000,pop18,3035
1000,pop19,1733
1000,pop20,4717
1000,pop21,299
1000,pop22,595
1000,pop23,1465
1000,pop24,2041
1000,pop25,2070
1000,pop26,63
1000,pop27,1792
1000,pop28,713
1000,pop29,2879
1000,pop30,47
1000,pop31,576
1000,pop32,1276
1000,pop33,4030
1000,pop34,1936
1000,pop35,1699
1000,pop36,867
1000,pop37,346
1000,pop38,478
1000,pop39,550
1000,pop40,1011
1000,pop41,7507
1000,pop42,2909
1000,pop43,419
1000,pop44,4351
1000,pop45,4366
1000,pop46,234
1000,pop47,408
1000,pop48,1279
1000,pop49,2636
1000,pop50,2509
1000,pop51,705
1000,pop52,2257
1000,pop53,1058
1000,pop54,387
1000,pop55,270
1000,pop56,2485
1000,pop57,1382
1000,pop58,2183
1000,pop59,1765
1000,pop60,0
1000,pop61,5556
1000,pop62,2006
1000,pop63,0
1000,pop64,744
1000,pop65,237
1000,pop66,3564
1000,pop67,2233
1000,pop68,1350
1000,pop69,871
1000,pop70,3056
1000,pop71,2602
1000,pop72,1947
1000,pop73,3992
1000,pop74,240
1000,pop75,320
1000,pop76,342
1000,pop77,1443
1000,pop78,3347
1000,pop79,2121
1000,pop80,1087
1000,pop81,3719
1000,pop82,2936
1000,pop83,883
1000,pop84,0
1000,pop85,3230
1000,pop86,1221
1000,pop87,3185
1000,pop88,2177
1000,pop89,2015
1000,pop90,720
1000,pop91,1843
1000,pop92,1819
1000,pop93,824
1000,pop94,4484
1000,pop95,1247
1000,pop96,654
1000,pop97,1636
1000,pop98,1505
1000,pop99,2037
1000,pop100,1559
1000,pop101,3976
1000,pop102,3522
1000,pop103,3635
1000,pop104,529
1000,pop105,3618
1000,pop106,595
1000,pop107,5537
1000,pop108,4299
1000,pop109,2600
1000,pop110,3381
1000,pop111,862
1000,pop112,1510
1000,pop113,3519
1000,pop114,4131
1000,pop115,2380
1000,pop116,5133
1000,pop117,1696
1000,pop118,1572
1000,pop119,833
1000,pop120,5562
1000,pop121,2929
1000,pop122,166
1000,pop123,2662
1000,pop124,1877
1000,pop125,4306
1000,pop126,779
1000,pop127,732
1000,pop128,4277
1000,pop129,5924
1000,pop130,7259
1000,pop131,7016
1000,pop132,1817
1000,pop133,3704
1000,pop134,863
1000,pop135,1361
1000,pop136,757
1000,pop137,423
1000,pop138,420
1000,pop139,2577
1000,pop140,3892
1000,pop141,5131
1000,pop142,3569
1000,pop143,225
1000,pop144,5591
1000,pop145,1213
1000,pop146,7
1000,pop147,469
1000,pop148,4484
