time,node,decisions
1000,pop0,209
1000,pop1,158
1000,pop2,802
1000,pop3,813
1000,pop4,559
1000,pop5,617
1000,pop6,554
1000,pop7,271
1000,pop8,378
1000,pop9,1282
1000,pop10,339
1000,pop11,1330
1000,pop12,357
1000,pop13,0
1000,pop14,668
1000,pop15,327
1000,pop16,889
1000,pop17,851
1000,pop18,1157
1000,pop19,470
1000,pop20,5043
1000,pop21,2113
1000,pop22,986
1000,pop23,888
1000,pop24,518
1000,pop25,1017
1000,pop26,572
1000,pop27,775
1000,pop28,232
1000,pop29,840
1000,pop30,0
1000,pop31,1540
1000,pop32,986
1000,pop33,2360
1000,pop34,1117
1000,pop35,1122
1000,pop36,852
1000,pop37,667
1000,pop38,467
1000,pop39,716
1000,pop40,1093
1000,pop41,3966
1000,pop42,495
1000,pop43,492
1000,pop44,1912
1000,pop45,1303
1000,pop46,179
1000,pop47,375
1000,pop48,2384
1000,pop49,509
1000,pop50,907
1000,pop51,2064
1000,pop52,387
1000,pop53,593
1000,pop54,240
1000,pop55,8
1000,pop56,512
1000,pop57,716
1000,pop58,3134
1000,pop59,270
1000,pop60,221
1000,pop61,3887
1000,pop62,2593
1000,pop63,341
1000,pop64,313
1000,pop65,331
1000,pop66,1117
1000,pop67,1597
1000,pop68,246
1000,pop69,518
1000,pop70,3457
1000,pop71,816
1000,pop72,1970
1000,pop73,1120
1000,pop74,128
1000,pop75,395
1000,pop76,307
1000,pop77,774
1000,pop78,236
1000,pop79,2171
1000,pop80,2316
1000,pop81,2505
1000,pop82,216
1000,pop83,0
1000,pop84,0
1000,pop85,225
1000,pop86,3452
1000,pop87,1194
1000,pop88,615
1000,pop89,682
1000,pop90,1791
1000,pop91,1029
1000,pop92,1697
1000,pop93,758
1000,pop94,1652
1000,pop95,1261
1000,pop96,1612
1000,pop97,288
1000,pop98,2355
1000,pop99,2167
1000,pop100,302
1000,pop101,3110
1000,pop102,2123
1000,pop103,1372
1000,pop104,0
1000,pop105,2306
1000,pop106,35
1000,pop107,4871
1000,pop108,2305
1000,pop109,937
1000,pop110,3486
1000,pop111,422
1000,pop112,1102
1000,pop113,1800
1000,pop114,2450
1000,pop115,1823
1000,pop116,5150
1000,pop117,1577
1000,pop118,932
1000,pop119,970
1000,pop120,4285
1000,pop121,3284
1000,pop122,179
1000,pop123,2662
1000,pop124,2084
1000,pop125,4524
1000,pop126,368
1000,pop127,541
1000,pop128,1266
1000,pop129,3638
1000,pop130,6294
1000,pop131,5394
1000,pop132,1241
1000,pop133,1269
1000,pop134,236
1000,pop135,601
1000,pop136,105
1000,pop137,737
1000,pop138,998
1000,pop139,2519
1000,pop140,2396
1000,pop141,2660
1000,pop142,1262
1000,pop143,0
1000,pop144,2918
1000,pop145,142
1000,pop146,344
1000,pop147,410
1000,pop148,832
